areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2022-06-13,5918,,,,
K02000001,United Kingdom,overview,2022-06-12,5654,,,,
K02000001,United Kingdom,overview,2022-06-11,5478,,,,
K02000001,United Kingdom,overview,2022-06-10,5479,710,,,
K02000001,United Kingdom,overview,2022-06-09,5285,751,,,
K02000001,United Kingdom,overview,2022-06-08,5267,771,,4891,5960
K02000001,United Kingdom,overview,2022-06-07,5282,687,,3335,4831
K02000001,United Kingdom,overview,2022-06-06,5260,718,,2828,4844
K02000001,United Kingdom,overview,2022-06-05,5074,623,,2628,3306
K02000001,United Kingdom,overview,2022-06-04,4922,520,,5621,6472
K02000001,United Kingdom,overview,2022-06-03,4967,489,,1033,1177
K02000001,United Kingdom,overview,2022-06-02,4948,518,,2266,2390
K02000001,United Kingdom,overview,2022-06-01,4922,576,,6970,8628
K02000001,United Kingdom,overview,2022-05-31,5171,588,,7650,8775
K02000001,United Kingdom,overview,2022-05-30,5209,560,,6769,8051
K02000001,United Kingdom,overview,2022-05-29,5127,520,,6018,5496
K02000001,United Kingdom,overview,2022-05-28,5175,454,,12568,11504
K02000001,United Kingdom,overview,2022-05-27,5368,523,,5192,6356
K02000001,United Kingdom,overview,2022-05-26,5621,495,,3608,25392
K02000001,United Kingdom,overview,2022-05-25,5752,580,,386,3072
K02000001,United Kingdom,overview,2022-05-24,5899,578,,4746,4867
K02000001,United Kingdom,overview,2022-05-23,6270,592,,3323,4629
K02000001,United Kingdom,overview,2022-05-22,6282,535,,6519,4621
K02000001,United Kingdom,overview,2022-05-21,6330,450,,16176,11054
K02000001,United Kingdom,overview,2022-05-20,6552,525,6338,6503,6514
K02000001,United Kingdom,overview,2022-05-19,6762,649,12208,8931,8074
K02000001,United Kingdom,overview,2022-05-18,6915,711,7791,5365,5956
K02000001,United Kingdom,overview,2022-05-17,7294,665,8603,5431,5921
K02000001,United Kingdom,overview,2022-05-16,7640,689,22337,4774,5601
K02000001,United Kingdom,overview,2022-05-15,7826,631,173,10090,5709
K02000001,United Kingdom,overview,2022-05-14,7842,610,1082,20462,12824
K02000001,United Kingdom,overview,2022-05-13,8183,627,6592,7513,7150
K02000001,United Kingdom,overview,2022-05-12,8489,783,14564,7488,7531
K02000001,United Kingdom,overview,2022-05-11,8950,775,8135,6801,8001
K02000001,United Kingdom,overview,2022-05-10,9347,865,10413,7224,7909
K02000001,United Kingdom,overview,2022-05-09,9668,848,26280,5910,7601
K02000001,United Kingdom,overview,2022-05-08,9752,753,0,10662,7490
K02000001,United Kingdom,overview,2022-05-07,9808,706,0,24460,15741
K02000001,United Kingdom,overview,2022-05-06,10311,817,11076,9588,9434
K02000001,United Kingdom,overview,2022-05-05,10831,868,12487,8238,7997
K02000001,United Kingdom,overview,2022-05-04,11328,1005,16611,9080,8684
K02000001,United Kingdom,overview,2022-05-03,11670,1020,35635,7587,6536
K02000001,United Kingdom,overview,2022-05-02,11777,941,0,5636,2693
K02000001,United Kingdom,overview,2022-05-01,11779,906,0,12021,6142
K02000001,United Kingdom,overview,2022-04-30,11995,826,0,27465,15009
K02000001,United Kingdom,overview,2022-04-29,12532,1004,12421,11491,9533
K02000001,United Kingdom,overview,2022-04-28,13105,1074,14030,11079,9624
K02000001,United Kingdom,overview,2022-04-27,13738,1227,17224,9609,8324
K02000001,United Kingdom,overview,2022-04-26,14169,1251,16579,9541,8424
K02000001,United Kingdom,overview,2022-04-25,14986,1280,45077,8959,7976
K02000001,United Kingdom,overview,2022-04-24,15050,1191,0,15624,8241
K02000001,United Kingdom,overview,2022-04-23,15159,1205,0,31918,16861
K02000001,United Kingdom,overview,2022-04-22,15973,1365,19795,15821,10316
K02000001,United Kingdom,overview,2022-04-21,16507,1435,23456,17230,10706
K02000001,United Kingdom,overview,2022-04-20,17450,1509,26147,14416,10974
K02000001,United Kingdom,overview,2022-04-19,17993,1621,116227,15137,11105
K02000001,United Kingdom,overview,2022-04-18,17540,1665,0,6040,3541
K02000001,United Kingdom,overview,2022-04-17,17639,1490,0,4823,2643
K02000001,United Kingdom,overview,2022-04-16,17808,1449,0,18165,11301
K02000001,United Kingdom,overview,2022-04-15,17887,1642,0,11444,5516
K02000001,United Kingdom,overview,2022-04-14,18591,1898,32608,22841,13397
K02000001,United Kingdom,overview,2022-04-13,19114,2113,35926,19404,12621
